Name,NACA 0012 AIRFOILS
Chord(mm),1000
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
1000.000000,1.260000
999.416100,1.341900
997.665800,1.587000
994.753200,1.993800
990.685000,2.559500
985.470900,3.280400
979.122900,4.151900
971.655900,5.168500
963.087300,6.323800
953.437200,7.610800
942.728000,9.021700
930.984900,10.548500
918.235100,12.182300
904.508500,13.914300
889.837200,15.735100
874.255400,17.635300
857.799500,19.605100
840.507900,21.634700
822.421100,23.714200
803.581300,25.833700
784.032400,27.982800
763.820200,30.151500
742.991700,32.329400
721.595800,34.505800
699.682300,36.670000
677.302500,38.810900
654.508500,40.917400
631.353700,42.977800
607.892100,44.980200
584.178600,46.912400
560.268300,48.761900
536.217400,50.516100
512.081900,52.162000
487.918100,53.686600
463.782600,55.076900
439.731700,56.320000
415.821500,57.403300
392.107900,58.314500
368.646300,59.041900
345.491500,59.574700
322.697600,59.902800
300.317700,60.017200
278.404200,59.910200
257.008300,59.575500
236.179900,59.008100
215.967600,58.204800
196.418700,57.164000
177.578900,55.885600
159.492100,54.371500
142.200500,52.625100
125.744600,50.651300
110.162800,48.456700
95.491500,46.048900
81.764900,43.437100
69.015200,40.631000
57.272000,37.641400
46.562800,34.479200
36.912700,31.155900
28.344100,27.682700
20.877100,24.070600
14.529100,20.330000
9.314900,16.470600
5.246800,12.501100
2.334200,8.428900
0.583900,4.260300
0.000000,0.000000
0.583900,-4.260300
2.334200,-8.428900
5.246800,-12.501100
9.314900,-16.470600
14.529100,-20.330000
20.877100,-24.070600
28.344100,-27.682700
36.912700,-31.155900
46.562800,-34.479200
57.272000,-37.641400
69.015200,-40.631000
81.764900,-43.437100
95.491500,-46.048900
110.162800,-48.456700
125.744600,-50.651300
142.200500,-52.625100
159.492100,-54.371500
177.578900,-55.885600
196.418700,-57.164000
215.967600,-58.204800
236.179900,-59.008100
257.008300,-59.575500
278.404200,-59.910200
300.317700,-60.017200
322.697600,-59.902800
345.491500,-59.574700
368.646300,-59.041900
392.107900,-58.314500
415.821500,-57.403300
439.731700,-56.320000
463.782600,-55.076900
487.918100,-53.686600
512.081900,-52.162000
536.217400,-50.516100
560.268300,-48.761900
584.178600,-46.912400
607.892100,-44.980200
631.353700,-42.977800
654.508500,-40.917400
677.302500,-38.810900
699.682300,-36.670000
721.595800,-34.505800
742.991700,-32.329400
763.820200,-30.151500
784.032400,-27.982800
803.581300,-25.833700
822.421100,-23.714200
840.507900,-21.634700
857.799500,-19.605100
874.255400,-17.635300
889.837200,-15.735100
904.508500,-13.914300
918.235100,-12.182300
930.984900,-10.548500
942.728000,-9.021700
953.437200,-7.610800
963.087300,-6.323800
971.655900,-5.168500
979.122900,-4.151900
985.470900,-3.280400
990.685000,-2.559500
994.753200,-1.993800
997.665800,-1.587000
999.416100,-1.341900
1000.000000,-1.260000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.583900,0.000000
2.334200,0.000000
5.246800,0.000000
9.314900,0.000000
14.529100,0.000000
20.877100,0.000000
28.344100,0.000000
36.912700,0.000000
46.562800,0.000000
57.272000,0.000000
69.015200,0.000000
81.764900,0.000000
95.491500,0.000000
110.162800,0.000000
125.744600,0.000000
142.200500,0.000000
159.492100,0.000000
177.578900,0.000000
196.418700,0.000000
215.967600,0.000000
236.179900,0.000000
257.008300,0.000000
278.404200,0.000000
300.317700,0.000000
322.697600,0.000000
345.491500,0.000000
368.646300,0.000000
392.107900,0.000000
415.821500,0.000000
439.731700,0.000000
463.782600,0.000000
487.918100,0.000000
512.081900,0.000000
536.217400,0.000000
560.268300,0.000000
584.178600,0.000000
607.892100,0.000000
631.353700,0.000000
654.508500,0.000000
677.302500,0.000000
699.682300,0.000000
721.595800,0.000000
742.991700,0.000000
763.820200,0.000000
784.032400,0.000000
803.581300,0.000000
822.421100,0.000000
840.507900,0.000000
857.799500,0.000000
874.255400,0.000000
889.837200,0.000000
904.508500,0.000000
918.235100,0.000000
930.984900,0.000000
942.728000,0.000000
953.437200,0.000000
963.087300,0.000000
971.655900,0.000000
979.122900,0.000000
985.470900,0.000000
990.685000,0.000000
994.753200,0.000000
997.665800,0.000000
999.416100,0.000000
1000.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
1000.000000,0.000000
